ts,coin,state,pos_sz,pos_notional,withdrawable,equity,gross_spread_bps,net_spread_bps,skew_bps,position_ratio,volatility,mid_px,bid_sz,ask_sz,placed_buy_sz,placed_sell_sz
2026-06-20T09:25:50.761331159+00:00,FARTCOIN,COOLDOWN,3658.200000,453.818001,-331.099843,131.789858,4.0305,0.5305,3.5000,1.0000,0.000000,0.124055,651766.500000,399208.900000,0.000000,0.000000
2026-06-20T09:25:54.599810835+00:00,FARTCOIN,COOLDOWN,3658.200000,453.818001,-331.099843,131.826440,4.0305,0.5305,3.5000,1.0000,0.000000,0.124055,607613.100000,376045.600000,0.000000,0.000000
2026-06-20T09:26:00.318970507+00:00,FARTCOIN,COOLDOWN,3658.200000,453.818001,-331.099843,131.863022,4.0305,0.5305,3.5000,1.0000,0.000000,0.124055,593511.800000,375475.800000,0.000000,0.000000
2026-06-20T09:26:04.960190254+00:00,FARTCOIN,COOLDOWN,3658.200000,453.781419,-331.099843,131.863022,2.4185,-1.0815,3.5000,1.0000,0.000000,0.124045,613138.800000,338829.900000,0.000000,0.000000
2026-06-20T09:26:09.420206071+00:00,FARTCOIN,COOLDOWN,3658.200000,453.781419,-331.099843,131.863022,2.4185,-1.0815,3.5000,1.0000,0.000000,0.124045,613940.300000,380515.100000,0.000000,0.000000
2026-06-20T09:26:13.241522729+00:00,FARTCOIN,COOLDOWN,3658.200000,453.781419,-331.099843,131.826440,2.4185,-1.0815,3.5000,1.0000,0.000000,0.124045,613940.300000,380515.100000,0.000000,0.000000
2026-06-20T09:26:17.209973934+00:00,FARTCOIN,COOLDOWN,3658.200000,453.763128,-331.099843,131.826440,3.2248,-0.2752,3.5000,1.0000,0.000000,0.124040,694693.300000,492470.900000,0.000000,0.000000
2026-06-20T09:26:21.563951225+00:00,FARTCOIN,COOLDOWN,3658.200000,453.763128,-331.099843,131.826440,3.2248,-0.2752,3.5000,1.0000,0.000000,0.124040,610898.600000,484732.200000,0.000000,0.000000
2026-06-20T09:26:26.142021494+00:00,FARTCOIN,COOLDOWN,3658.200000,453.415599,-331.099843,131.826440,4.0340,0.5340,3.5000,1.0000,0.000000,0.123945,557207.300000,439107.200000,0.000000,0.000000
2026-06-20T09:26:31.646963425+00:00,FARTCOIN,COOLDOWN,3658.200000,453.433890,-331.099843,131.460620,3.2271,-0.2729,3.5000,1.0000,0.000000,0.123950,475164.400000,358027.600000,0.000000,0.000000
2026-06-20T09:26:36.003303348+00:00,FARTCOIN,COOLDOWN,3658.200000,453.433890,-331.099843,131.460620,3.2271,-0.2729,3.5000,1.0000,0.000000,0.123950,475164.400000,358027.600000,0.000000,0.000000
2026-06-20T09:26:40.863350557+00:00,FARTCOIN,COOLDOWN,3658.200000,453.433890,-331.099843,131.460620,3.2271,-0.2729,3.5000,1.0000,0.000000,0.123950,653425.800000,343840.000000,0.000000,0.000000
2026-06-20T09:26:45.385209417+00:00,FARTCOIN,COOLDOWN,3658.200000,453.397308,-331.099843,131.460620,3.2274,-0.2726,3.5000,1.0000,0.000000,0.123940,597365.900000,339880.500000,0.000000,0.000000
2026-06-20T09:26:50.262282088+00:00,FARTCOIN,COOLDOWN,3658.200000,453.104652,-331.099843,131.197865,1.6147,-1.8853,3.5000,1.0000,0.000000,0.123860,646757.400000,455044.200000,0.000000,0.000000
2026-06-20T09:26:56.312457630+00:00,FARTCOIN,COOLDOWN,3658.200000,453.068070,-331.099843,131.197865,3.2297,-0.2703,3.5000,1.0000,0.000000,0.123850,739616.000000,406745.400000,0.000000,0.000000
2026-06-20T09:27:00.093326856+00:00,FARTCOIN,COOLDOWN,3658.200000,453.049779,-331.099843,131.197865,4.0373,0.5373,3.5000,1.0000,0.000000,0.123845,675719.700000,385113.400000,0.000000,0.000000
2026-06-20T09:27:04.142459289+00:00,FARTCOIN,COOLDOWN,3658.200000,453.360726,-331.099843,131.234447,4.8414,1.3414,3.5000,1.0000,0.000000,0.123930,700927.400000,375892.400000,0.000000,0.000000
2026-06-20T09:27:07.654099478+00:00,FARTCOIN,COOLDOWN,3658.200000,453.360726,-331.099843,131.271029,4.8414,1.3414,3.5000,1.0000,0.000000,0.123930,700927.400000,375892.400000,0.000000,0.000000
2026-06-20T09:27:12.059669691+00:00,FARTCOIN,COOLDOWN,3658.200000,453.360726,-331.099843,131.380775,3.2276,-0.2724,3.5000,1.0000,0.000000,0.123930,608045.500000,355804.700000,0.000000,0.000000
2026-06-20T09:27:15.304691613+00:00,FARTCOIN,COOLDOWN,3658.200000,453.379017,-331.099843,131.380775,2.4206,-1.0794,3.5000,1.0000,0.000000,0.123935,443213.300000,352736.300000,0.000000,0.000000
2026-06-20T09:27:19.970276639+00:00,FARTCOIN,COOLDOWN,3658.200000,453.360726,-331.099843,131.380775,3.2276,-0.2724,3.5000,1.0000,0.000000,0.123930,619045.400000,366627.400000,0.000000,0.000000
2026-06-20T09:27:23.697743872+00:00,FARTCOIN,COOLDOWN,3658.200000,453.360726,-331.099843,131.527103,3.2276,-0.2724,3.5000,1.0000,0.000000,0.123930,619045.400000,366627.400000,0.000000,0.000000
2026-06-20T09:27:29.340921572+00:00,FARTCOIN,COOLDOWN,3658.200000,453.561927,-331.099843,131.636849,4.0327,0.5327,3.5000,1.0000,0.000000,0.123985,431243.500000,328740.200000,0.000000,0.000000
2026-06-20T09:27:34.670616998+00:00,FARTCOIN,COOLDOWN,3658.200000,453.598509,-331.099843,131.673431,0.8065,-2.6935,3.5000,1.0000,0.000000,0.123995,482610.700000,287627.400000,0.000000,0.000000
2026-06-20T09:27:38.446397832+00:00,FARTCOIN,COOLDOWN,3658.200000,453.653382,-331.099843,131.673431,3.2255,-0.2745,3.5000,1.0000,0.000000,0.124010,394349.900000,436592.200000,0.000000,0.000000
2026-06-20T09:27:42.538281334+00:00,FARTCOIN,COOLDOWN,3658.200000,453.726546,-331.099843,131.716694,4.8375,1.3375,3.5000,1.0000,0.000000,0.124030,545184.600000,432570.100000,0.000000,0.000000
2026-06-20T09:27:46.097503396+00:00,FARTCOIN,COOLDOWN,3658.200000,453.726546,-331.099843,131.789858,4.8375,1.3375,3.5000,1.0000,0.000000,0.124030,545184.600000,432570.100000,0.000000,0.000000
2026-06-20T09:27:51.502622004+00:00,FARTCOIN,COOLDOWN,3658.200000,453.799710,-331.099843,131.863022,1.6123,-1.8877,3.5000,1.0000,0.000000,0.124050,584279.100000,448156.400000,0.000000,0.000000
